Compiling 501 files (.ex)
[profile] lib/foo_4530.ex compiled in 8471ms
[profile] lib/foo_3390.ex compiled in 5183ms
[profile] lib/foo_3150.ex compiled in 4610ms
[profile] lib/foo_3500.ex compiled in 5392ms
[profile] lib/foo_3920.ex compiled in 6500ms
[profile] lib/foo_4860.ex compiled in 7322ms
[profile] lib/foo_4320.ex compiled in 6193ms
[profile] lib/foo_1280.ex compiled in 1525ms
[profile] lib/foo_3240.ex compiled in 4154ms
[profile] lib/foo_2820.ex compiled in 3181ms
[profile] lib/foo_1880.ex compiled in 1587ms
[profile] lib/foo_4940.ex compiled in 6716ms
[profile] lib/foo_3650.ex compiled in 4586ms
[profile] lib/foo_2730.ex compiled in 3762ms
[profile] lib/foo_4630.ex compiled in 6905ms
[profile] lib/foo_2020.ex compiled in 2441ms
[profile] lib/foo_300.ex compiled in 336ms
[profile] lib/foo_1740.ex compiled in 1533ms
[profile] lib/foo_4590.ex compiled in 6263ms
[profile] lib/foo_990.ex compiled in 782ms
[profile] lib/foo_3190.ex compiled in 4070ms
[profile] lib/foo_4750.ex compiled in 6283ms
[profile] lib/foo_4240.ex compiled in 6472ms
[profile] lib/foo_3950.ex compiled in 6444ms
[profile] lib/foo_3720.ex compiled in 4839ms
[profile] lib/foo_4430.ex compiled in 7938ms
[profile] lib/foo_110.ex compiled in 108ms
[profile] lib/foo_2260.ex compiled in 2334ms
[profile] lib/foo_4000.ex compiled in 4739ms
[profile] lib/foo_4800.ex compiled in 6057ms
[profile] lib/foo_4260.ex compiled in 5061ms
[profile] lib/foo_4160.ex compiled in 4521ms
[profile] lib/foo_3700.ex compiled in 6523ms
[profile] lib/foo_250.ex compiled in 507ms
[profile] lib/foo_4250.ex compiled in 7300ms
[profile] lib/foo_2920.ex compiled in 6945ms
[profile] lib/foo_40.ex compiled in 131ms
[profile] lib/foo_1970.ex compiled in 2796ms
[profile] lib/foo_1200.ex compiled in 1385ms
Compiling lib/foo_4830.ex (it's taking more than 10s)
[profile] lib/foo_4830.ex compiled in 10597ms
[profile] lib/foo_4720.ex compiled in 9864ms
